,boxOffice,differenceCount,dislikeCount,imdbRating,likeCount,publishedDate,title,tomatoRating,viewCount
235,5,341045,21099,5,362144,11/28/2014,Star Wars: Shadow of the Fallen,5,77102292
225,362.7,547852,13017,8.2,560869,8/5/2015,Deadpool,6.9,41200772
41,38.2,96327,13459,6.7,109786,9/23/2015,The Angry Birds Movie,5,27879707
237,328.2,111458,5923,7.1,117381,4/17/2015,Batman v Superman: Dawn of Justice,4.9,27528280
40,296,92755,4284,8.4,97039,11/25/2015,Captain America: Civil War,7.6,26963811
187,5,46001,19752,6.5,65753,9/7/2014,LEGO Friends: Girlz 4 Life,5,24577559
56,5,165469,13380,7.9,178849,2/29/2016,Fan,6.8,23200413
240,311.1,81914,4275,7.9,86189,9/15/2015,The Jungle Book,7.7,22823665
3,5,80391,4074,9,84465,11/6/2015,Warcraft,5,21301467
23,31.1,47137,13991,5.6,61128,11/17/2015,Gods of Egypt,3.4,20717150
181,5,132643,3810,5,136453,7/23/2015,Pawns No More: Making the Hunger Games: Mockingjay Part 2,5,20351707
188,5,10593,3248,5,13841,5/7/2015,Youth,5,20234859
186,5,90352,2844,5,93196,6/30/2015,Creed,5,19965373
219,0.4,99192,8340,5.7,107532,3/14/2016,Baaghi,5,19660989
118,5,44836,1379,7.9,46215,9/29/2015,A World Unseen: The Revenant,5,19168931
265,5,19308,1973,5,21281,2/25/2013,Eden,5,19029858
161,5,397184,6164,5,403348,8/4/2013,Naruto Shippuden: Ultimate Ninja Storm 4,5,16968261
77,5,43149,5681,5.7,48830,2/16/2016,Ki and Ka,5,14993167
253,5,39034,1358,6.4,40392,12/18/2013,Neighbors 2: Sorority Rising,5,14637167
119,5,21382,3537,5,24919,2/11/2015,True Trainwreck,5,14229996
260,5,24891,3268,5,28159,9/4/2013,Grace and Gravity,5,14001267
205,5,37335,3408,5,40743,9/9/2015,Krampus: Beware the Krampus,5,13737018
123,5,73112,5300,3.4,78412,11/19/2015,Fifty Shades of Black,2.8,13610302
178,5,25574,4241,5,29815,12/20/2012,Deadly Temptation,5,13290508
60,5,46737,12565,5,59302,4/24/2016,Housefull 3,5,13201992
18,5,111871,4970,5,116841,5/23/2016,Beauty and the Beast XXX: An Erotic Fairy Tale Parody,5,13031646
112,5,31118,2415,5,33533,7/16/2014,Ouija 2,5,12964014
198,36.9,34054,2080,5.2,36134,9/14/2015,The 5th Wave,4.2,12807931
10,5,89328,1951,5,91279,4/11/2016,Suicide Squad,5,12272267
106,5,63259,5703,5,68962,4/16/2016,Udta Punjab,5,11806715
192,5,62790,1144,5,63934,11/18/2015,Now You See Me 2,5,11597845
53,5,39458,2249,7.8,41707,12/11/2015,X-Men: Apocalypse,5,11298679
168,5,38583,1939,5,40522,8/25/2014,Amityville: No Escape,5,10886446
140,0.5,31950,4525,5.6,36475,1/4/2016,Fitoor,5,10813069
282,5,23406,2413,5,25819,8/19/2015,The Witch,5,10666939
122,5,45154,3723,8,48877,2/10/2016,Kapoor and Sons,5,10464130
87,5,28433,2631,6,31064,11/5/2015,London Has Fallen,3.9,10276185
246,5,31966,1982,6.1,33948,10/29/2015,Dirty Grandpa,2.8,10154637
154,5,41195,1221,5,42416,6/17/2015,The Secret Life of Pets,5,10144018
109,5,29121,1405,6,30526,10/14/2015,The Boy,4.2,9618905
242,5,5749,2868,3.7,8617,4/7/2016,One Night Stand,5,9487106
108,5,33675,2804,5,36479,4/1/2016,Azhar,5,9291680
281,5,9943,688,5,10631,6/13/2013,The Art of Elysium: Heaven on Earth,5,8813459
176,5,39506,2486,5.9,41992,12/22/2015,Jai Gangaajal,5,8714021
19,5,86206,718,5,86924,2/3/2016,Me Before You,5,8686841
55,5,40674,914,5,41588,11/20/2015,Central Intelligence,5,8376168
7,5,26973,6311,5,33284,5/2/2016,Bad Moms,5,8362275
48,5,26595,1837,5,28432,3/17/2016,The Legend of Tarzan,5,8330687
1,5,71681,4147,5,75828,5/11/2016,Nerve,5,8065469
268,5,13289,909,5,14198,10/2/2015,Spectre: Video Blogs,5,7660753
227,5,21484,891,5,22375,7/10/2014,Bring Back the Egg Unbroken,5,7452276
160,5,6296,5721,4.6,12017,3/3/2016,Love Games,5,7246663
94,5,27991,4920,5,32911,5/4/2016,The Shallows,5,6793988
86,1.5,32853,1418,8.2,34271,12/17/2015,Neerja,5,6773628
145,5,25471,1899,5,27370,4/22/2016,Independence Day: Resurgence,5,6604063
42,31.3,27121,2126,5.4,29247,2/12/2016,Mother's Day,3,6391016
206,5,58769,2827,5,61596,1/5/2015,Five Nights at Freddy's World,5,6364375
230,5,13522,748,5,14270,12/9/2012,Louis Theroux: Drinking to Oblivion,5,6316926
182,5,29607,641,9.6,30248,5/13/2015,Steve the Intern,5,6260908
279,5,15395,2036,4.8,17431,4/4/2016,1920 London,5,6254868
159,46.7,27256,880,6.2,28136,11/18/2015,The Huntsman: Winter's War,4.2,6195962
103,5,4653,785,4.6,5438,1/6/2016,LoveShhuda,5,5647923
71,5,4688,4183,3.7,8871,1/29/2016,Cabin Fever,2.6,5370051
69,323.8,31294,648,8.3,31942,11/23/2015,Zootopia,8.1,5314492
37,62.3,22311,1282,5.3,23593,11/20/2015,The Boss,4.4,5048926
238,5,22972,826,5,23798,3/18/2015,Max,5,4961958
274,5,14210,1790,5,16000,2/22/2016,Pete's Dragon,5,4823329
116,5,226545,13586,5,240131,2/16/2016,Silk Road Kumash Nan,5,4634121
89,5,37677,1287,5,38964,3/29/2016,Alice Through the Looking Glass,4.2,4628598
212,5,12049,637,5,12686,6/4/2015,Vacation,5,4575901
175,5,19530,1049,6.5,20579,11/11/2015,Miracles from Heaven,5.1,4447650
75,5,17899,652,5,18551,5/5/2016,Te3n,5,4445586
102,5,16824,3069,5,19893,4/14/2016,The Neon Demon,6.1,4412363
115,5,17722,623,6.6,18345,10/9/2015,"Hail, Caesar!",7.2,4254318
239,5,10035,388,5,10423,6/4/2015,Everest in Peace,5,4199592
134,5,1919,1723,7.3,3642,1/7/2016,Black Road,5,4184694
179,23,10240,2417,7,12657,12/17/2015,Whiskey Tango Foxtrot,6.2,4147680
97,5,23227,1487,5,24714,2/10/2016,The Purge: Election Year,5,4143134
70,5,23956,2610,7.3,26566,2/18/2016,Ambarsariya,5,4140834
46,5,11563,1814,5,13377,4/18/2016,Veerappan,5,4066110
137,5,14498,1102,5,15600,7/15/2015,Sisters,5,4064515
51,5,17407,4201,5,21608,1/14/2016,Meet,5,3987926
38,14.3,12952,442,6.4,13394,2/11/2016,Criminal,4.4,3921647
63,5,2117,929,5.2,3046,3/21/2016,Holidays,6,3909055
20,5,19938,409,5,20347,4/21/2016,Jason Bourne,5,3867669
210,5,10277,589,7.9,10866,8/26/2015,Love,5,3788073
171,8.6,27657,1062,5,28719,10/15/2015,Ratchet,4.1,3721339
218,5,7080,311,3.6,7391,12/22/2014,Showdown in Manila,5,3685558
29,5,35486,874,5,36360,4/13/2016,Doctor Strange,5,3674014
105,5,17372,857,5,18229,2/8/2016,Mike and Dave Need Wedding Dates,5,3599972
32,5,16555,682,5.2,17237,2/3/2016,Get a Job,5,3534500
267,5,15666,327,5,15993,6/9/2015,Occupy Mars: Casting and Costumes of 'The Martian',5,3531155
107,5,9167,1258,5,10425,4/23/2015,The Visit,5,3471560
101,5,7348,315,6.4,7663,1/12/2016,Triple 9,5.8,3452811
12,5,39743,2459,5,42202,5/12/2016,Assassin's Creed,5,3239173
34,5,35050,431,5,35481,3/15/2016,Miss Peregrine's Home for Peculiar Children,5,2939237
229,5,9662,804,5,10466,7/1/2015,Inside Jobs: The Making of Steve Jobs,5,2915775
121,5,2760,5266,5,8026,3/16/2016,Ben-Hur,5,2881154
81,5,5153,936,5,6089,12/14/2015,Diablo,3.7,2780415
62,5,10268,917,5.9,11185,3/3/2016,Kill Command,5.3,2709116
30,5,22688,728,5,23416,3/24/2016,War Dogs,5,2668613
278,5,30790,640,6.8,31430,4/27/2016,Batman: Bad Blood,5,2634080
127,5,6627,1047,5,7674,4/20/2016,The Do Over,5,2603100
26,5,20483,1515,5,21998,4/18/2016,Compassion Equals,5,2593611
83,9.7,7944,1614,4.2,9558,1/18/2016,The Perfect Match,4.6,2584135
100,5,11002,341,5,11343,9/8/2015,Demolition Dreaming,5,2386050
93,5,4868,730,5,5598,5/9/2016,Amateur Night,5,2241742
98,5,12576,240,7.5,12816,4/13/2016,Traffic,5,2130356
54,5,29196,359,5,29555,4/11/2016,Fantastic Beasts and Where to Find Them,5,2118821
45,5,17833,949,7.2,18782,4/4/2016,Swiss Army Man,6.7,2113493
158,5,12405,142,8,12547,3/22/2016,The Nice Guys,5,1917800
126,5,11228,416,5,11644,4/20/2016,The Girl on the Train,5,1893815
90,5,14702,682,5,15384,4/26/2016,Dear Eleanor,5,1870194
5,5,19925,1784,7.8,21709,5/19/2016,Sausage Party,6.5,1868820
65,5,-831,18751,5,17920,3/3/2016,Ghostbusters,5,1825649
169,3.9,2853,5258,6.3,8111,3/10/2016,A Hologram for the King,6.2,1817431
256,5,1460,406,4.8,1866,2/1/2016,Pandemic,4.7,1817301
222,3.6,5054,233,7.1,5287,11/19/2015,Midnight Special,7.4,1714880
174,5,4180,240,5.4,4420,3/8/2016,The Trust,5,1683377
141,5,5785,842,5,6627,2/11/2016,The Darkness,5,1680974
207,5,10135,268,5,10403,4/20/2016,The Magnificent Seven,5,1513312
195,5,9050,328,5,9378,1/9/2016,Free State of Jones,5,1505159
144,5,11874,676,5,12550,2/15/2016,Sing,5,1477277
95,5,4265,171,5,4436,4/4/2016,Blood Father,5,1456828
28,5,12270,428,7.6,12698,5/13/2016,Indignation,6.4,1421652
16,5,14758,661,5,15419,5/21/2016,Star Trek Beyond,5,1331323
220,5,2795,366,6.5,3161,1/30/2016,Risen,5.6,1325628
163,5,4638,362,6.5,5000,12/10/2015,The Brothers Grimsby,4.7,1296747
143,5,3961,153,5,4114,1/7/2016,The Conjuring 2,5,1266282
147,5,6842,554,5,7396,4/27/2016,Absolutely Fabulous: The Movie,5,1256320
136,5,7174,663,6.7,7837,3/19/2016,Hush,5,1255903
36,5,4578,1804,5,6382,4/26/2016,Cell,5,1226087
167,5,2982,278,5,3260,4/7/2016,Manhattan Night,5,1214004
61,27.1,6722,311,6.5,7033,1/13/2016,Money Monster,5.9,1197542
21,5,13583,220,5,13803,5/13/2016,The Accountant,5,1168192
165,5,7786,370,5,8156,3/23/2016,Bridget Jones's Baby,5,1165407
231,5,8445,204,6.5,8649,2/16/2016,Bastille Day,5.3,1144465
17,5,13497,251,8.2,13748,5/13/2016,Don't Breathe,6.7,1090758
166,5,8437,258,5,8695,3/26/2016,Lights Out,5,1084928
68,5,3875,154,8.5,4029,4/27/2016,Captain Fantastic,5.9,1073573
273,5,1032,197,5.1,1229,2/18/2016,I Am Wrath,2.8,1035160
131,1,4998,669,7.2,5667,1/8/2016,Elvis & Nixon,6.6,1030965
67,5,13381,360,5,13741,4/27/2016,Snowden,5,1025359
125,5,2447,150,5,2597,4/12/2016,A Monster Calls,5,998165
185,5,4263,246,6.9,4509,3/18/2016,Genius,5.3,981645
272,5,1920,394,5,2314,3/10/2016,Popstar: Never Stop Never Stopping,5,942754
200,5,7875,202,5,8077,4/28/2016,Tulip Fever,5,916127
104,5,2812,1068,5,3880,4/15/2016,Guardians,5,875990
257,5,12191,317,5,12508,4/22/2016,This Time,5,852669
130,5,5308,398,7.1,5706,5/11/2016,Café Society,5,803753
52,5,5924,157,5,6081,4/21/2016,The Founder,5,771261
177,5,5697,584,5,6281,5/12/2016,Billy Lynn's Long Halftime Walk,5,757926
149,5,6361,98,5,6459,4/20/2016,The Infiltrator,5,632947
73,5,7750,723,4.5,8473,4/28/2016,Southside with You,7,619670
252,5,4252,142,5,4394,12/2/2015,Things I Saw Before I Went Blind,5,602986
226,5,5239,183,8.3,5422,1/16/2016,Sing Street,8.1,578177
236,5,3950,90,8.3,4040,5/12/2016,Hell or High Water,7.7,571834
190,5,5625,70,5,5695,12/17/2015,Eddie,5,508009
262,5,5127,55,5,5182,2/24/2016,The Light Between Oceans,5,496934
59,5,1528,212,5.6,1740,4/1/2016,The Curse of Sleeping Beauty,5,483066
243,5,-110,2468,6.2,2358,5/10/2016,Yoga Hosers,3.4,448127
80,5,1994,256,5,2250,5/20/2016,Teenage Mutant Ninja Turtles: Portal Power,5,444906
233,5,2545,181,5,2726,4/25/2016,Emma's Chance,5,422575
283,5,730,41,5,771,3/4/2016,Middle School: The Worst Years of My Life,5,421970
209,5,875,47,5,922,1/20/2016,The Wave,5,412584
162,5,1076,1811,7.5,2887,4/15/2016,Nine Lives,5,410309
0,5,2942,248,5,3190,5/25/2016,Morgan,5,400515
251,0.2,4129,74,5,4203,2/9/2016,High Rise,6.5,397043
111,5,3808,135,5,3943,5/9/2016,Inferno,5,396089
255,5,2546,101,6.4,2647,4/11/2016,Our Kind of Traitor,5.9,382629
215,5,4284,548,5.7,4832,4/15/2016,The Birth of a Nation,7.6,370837
135,5,2858,295,8.4,3153,5/21/2016,Don't Think Twice,8.2,360861
117,5,4106,160,8.5,4266,5/16/2016,The BFG,6.9,303590
275,5,375,86,5,461,4/1/2016,Search Party,3.2,292761
214,5,2419,76,7.1,2495,4/27/2016,Florence Foster Jenkins,7.2,259990
148,5,1559,29,7.7,1588,3/24/2016,Pelé: Birth of a Legend,5,230727
217,5,350,86,5,436,5/6/2016,Bite Me,5,229305
113,5,341,212,5,553,5/17/2016,The Call Up,5,184629
211,5,1783,46,8.7,1829,5/22/2016,Overwatch,5,118754
249,5,1195,74,6,1269,3/12/2016,Blue Mountain State: The Rise of Thadland,5,116591
248,5,184,13,6.1,197,3/24/2016,Special Correspondents,3.8,86375
221,5,577,15,7.1,592,5/13/2016,Little Men,8.8,81224
199,5,154,32,5,186,4/18/2016,Sultan,5,78998
88,5,435,11,8.4,446,5/20/2016,The Land,5,44204
276,5,246,11,5,257,2/11/2016,Darling,6.2,43889
114,5,126,21,7.6,147,5/14/2016,Rise,5,42438
64,5,73,1,5,74,5/22/2016,The Gentleman Thief,5,10567
13,5,77,11,5,88,5/27/2016,Lego Nexo Knights 4D Movie Experience,5,10142
9,5,21,46,5,67,5/27/2016,One Under the Sun,5,9753
287,5,138,0,5,138,3/1/2016,Ice Age: Collision Course,5,7708
291,5,6,2,5,8,4/4/2013,Pass,5,146
290,5,4,0,5,4,9/21/2014,Inappropriate,5,142
292,5,1,0,5,1,4/21/2016,Tomorrow,5,132